timestamp,vehicleId,towerId,MasterId,candidateMasterId,towerLoad,signalQuality,distance,vehiclePositionX,vehiclePositionY,towerPositionX,towerPositionY,vehicleSpeed,vehicleDirection
0.5,2065,1,1,0,31,18.9553,971.472,1571.61,1597.49,834,1041,0,1
0.5,2067,2,1,0,0,18.4712,655.865,2650.52,1717.39,2496,1155,0,1
0.5,2075,2,1,0,0,21.1316,383.67,2461.52,1391.67,2496,1155,0,1
0.5,2070,3,1,0,0,24.2626,865.002,3496.78,1310.76,4293,1155,0,1
0.5,2073,3,1,0,0,26.6629,677.685,3728.55,1380.06,4293,1155,0,1
0.5,2050,4,1,0,0,26.6201,338.296,578.71,2407.14,734,2389,0,1
0.5,2062,4,1,4,0,33.3247,505.263,1003.6,2084.68,734,2389,0,1
0.5,2066,4,1,0,0,27.1362,681.21,1059.72,2906.64,734,2389,0,1
0.5,2054,5,1,0,0,21.1599,850.775,2823.51,2813.99,2225,2289,0,1
0.5,2057,5,1,0,0,25.7247,556.595,2683.49,2191.11,2225,2289,0,1
0.5,2060,5,1,0,0,25.4226,923.15,3093.14,2196.62,2225,2289,0,1
0.5,2061,5,1,5,0,41.764,421.749,2245.89,2584.7,2225,2289,0,1
0.5,2063,5,1,0,0,15.4709,935.666,3111.19,2300.9,2225,2289,0,1
0.5,2064,5,1,0,0,27.8015,978.547,1824.68,3130.01,2225,2289,0,1
0.5,2065,5,1,0,0,18.5057,997.545,1571.61,1597.49,2225,2289,0,1
0.5,2067,5,1,0,0,15.6778,773.182,2650.52,1717.39,2225,2289,0,1
0.5,2075,5,1,0,0,5.29519,975.263,2461.52,1391.67,2225,2289,0,1
0.5,2076,5,1,0,0,27.5556,459.353,2561.91,2375.57,2225,2289,0,1
0.5,2078,5,1,5,0,34.2135,592.887,2725.77,2185.34,2225,2289,0,1
0.5,2079,5,1,5,0,39.6464,310.077,2301.88,2304.4,2225,2289,0,1
0.5,2049,6,1,0,0,14.6943,987.979,2919.19,3072.91,3566,2389,0,1
0.5,2051,6,1,0,0,25.0798,487.117,3300.36,2112.01,3566,2389,0,1
0.5,2053,6,1,0,0,21.9216,945.891,3866,3234.41,3566,2389,0,1
0.5,2054,6,1,0,0,20.0812,906.593,2823.51,2813.99,3566,2389,0,1
0.5,2055,6,1,6,0,33.9549,361.436,3570.66,2187.47,3566,2389,0,1
0.5,2056,6,1,0,0,22.037,652.972,3243.27,2870.89,3566,2389,0,1
0.5,2057,6,1,0,0,16.5981,952.879,2683.49,2191.11,3566,2389,0,1
0.5,2060,6,1,6,0,32.961,592.117,3093.14,2196.62,3566,2389,0,1
0.5,2063,6,1,0,0,24.4312,551.92,3111.19,2300.9,3566,2389,0,1
0.5,2068,6,1,6,0,31.0151,453.559,3414.58,2084.39,3566,2389,0,1
0.5,2069,6,1,0,0,15.9463,851.824,3323.99,1629.37,3566,2389,0,1
0.5,2071,6,1,0,0,24.4544,650.901,3370.33,2932.49,3566,2389,0,1
0.5,2072,6,1,6,0,34.65,465.292,3342.65,2665.78,3566,2389,0,1
0.5,2077,6,1,6,0,40.103,371.31,3486.82,2185.03,3566,2389,0,1
0.5,2078,6,1,0,0,26.8453,915.132,2725.77,2185.34,3566,2389,0,1
0.5,2052,7,1,0,0,23.4984,775.13,1886.41,3290.38,1233,3580,0,1
0.5,2059,7,1,7,0,29.7174,790.941,1841.35,3173.18,1233,3580,0,1
0.5,2064,7,1,7,0,31.1872,801.61,1824.68,3130.01,1233,3580,0,1
0.5,2066,7,1,0,0,25.3397,757.255,1059.72,2906.64,1233,3580,0,1
